ID	C1	C2
S1	74.3	Male
S2	81.3	Male
S3	67.5	Male
S4	73.7	Male
S5	80.4	Female
S6	75.4	Male
S7	84.5	Female
S8	73.9	Female
S9	78.5	Female
S10	80.8	Male
S11	65.4	Male
S12	73.1	Female
S13	72.6	Female
S14	63.2	Male
S15	71.7	Male
S16	64.1	Male
S17	80	Female
S18	77.7	Female
S19	83.3	Male
S20	76.9	Male
S21	76.8	Male
S22	73.2	Male
S23	70.9	Female
S24	72.8	Male
S25	76.2	Male
S26	85.8	Female
S27	85.9	Male
S28	84.7	Male
S29	78.3	Male
S30	77.6	Male
S31	66.5	Male
S32	80.1	Male
S33	81	Female
S34	75.5	Male
S35	69.6	Female
S36	77.3	Male
S37	70.1	Male
S38	70.9	Female
S39	70	Male
S40	77	Female
S41	74.5	Male
S42	74.5	Male
S43	74.4	Female
S44	72.9	Male
S45	74	Male
S46	70.6	Male
S47	78.2	Male
S48	78.3	Male
S49	79.7	Male
S50	76	Female
S51	85	Male
S52	70.6	Male
S53	73.2	Male
S54	75.3	Female
S55	80.3	Female
S56	75.1	Male
S57	65.6	Male
S58	65.1	Male
S59	69.8	Male
S60	62.4	Male
S61	77.2	Female
S62	70.7	Female
S63	71.1	Male
S64	79.6	Male
S65	72.8	Female
S66	84.4	Female
S67	73.6	Male
S68	70.3	Female
S69	87.3	Male
S70	73.2	Female
S71	60.7	Female
S72	78.2	Male
S73	70.1	Female
S74	82.6	Female
S75	75.8	Female
S76	70.6	Male
S77	75.2	Male
S78	78.4	Male
S79	80.4	Male
S80	72	Male
S81	73.3	Male
S82	73.7	Male
S83	77.5	Female
S84	70.6	Male
S85	64.1	Female
S86	80.2	Female
S87	73.1	Male
S88	82.3	Female
S89	86.3	Male
S90	65.9	Female
S91	81.1	Male
S92	79.2	Male
S93	59.7	Female
S94	87.7	Male
S95	73.9	Male
S96	81.1	Male
S97	74.1	Male
S98	80.4	Female
S99	77.9	Female
S100	75.2	Male
S101	79.1	Male
S102	71.8	Male
S103	72.5	Female
S104	76.4	Male
S105	89.3	Male
S106	71.9	Female
S107	78.3	Female
S108	70.6	Female
S109	73.2	Male
S110	74.7	Male
S111	74.8	Female
S112	64.8	Male
S113	80.9	Male
S114	63.6	Female
S115	72.4	Female
S116	78.3	Female
S117	80.4	Female
S118	77.1	Male
S119	86.1	Male
S120	78.8	Male
S121	80.5	Female
S122	79.6	Male
S123	78	Female
S124	61.4	Male
S125	71.1	Female
S126	66.5	Female
S127	72.4	Female
S128	62.9	Male
S129	65.1	Male
S130	84.3	Male
S131	83.6	Female
S132	74.4	Male
S133	67.4	Male
S134	85.9	Male
S135	78	Female
S136	82.4	Female
S137	79.6	Female
S138	80.2	Female
S139	74.4	Female
S140	80	Male
S141	60.3	Male
S142	78	Male
S143	88.3	Male
S144	81.8	Male
S145	68	Female
S146	73.8	Female
S147	72	Female
S148	70.1	Male
S149	78.5	Female
S150	71.3	Female
S151	70.6	Male
S152	78.6	Female
S153	85.8	Male
S154	85.5	Male
S155	67.1	Male
S156	70.4	Female
S157	62.8	Male
S158	70.9	Male
S159	72.1	Male
S160	78.4	Male
S161	76.8	Female
S162	65.6	Male
S163	65.9	Male
S164	75.1	Male
S165	67.7	Male
S166	75.2	Male
S167	79.4	Male
S168	76.4	Male
S169	87.7	Male
S170	79.2	Male
S171	84.8	Male
S172	79.1	Male
S173	76.4	Male
S174	89.1	Female
S175	56.4	Male
S176	73.4	Female
S177	84.2	Male
S178	70.8	Female
S179	78.5	Male
S180	82.7	Male
S181	78.1	Female
S182	82.8	Male
S183	72.1	Male
S184	71.5	Male
S185	80.9	Male
S186	70.2	Female
S187	68.3	Male
S188	75.3	Female
S189	70.6	Female
S190	76.9	Male
S191	70	Male
S192	76.6	Male
S193	64.6	Female
S194	69.9	Male
S195	83.4	Female
S196	76.1	Male
S197	75.8	Male
S198	86	Male
S199	74	Male
S200	71.8	Male
S201	78.8	Male
S202	68.4	Male
S203	77	Female
S204	75.8	Male
S205	80.2	Male
S206	81.3	Female
S207	73.1	Male
S208	74.5	Male
S209	70.5	Female
S210	71.6	Female
S211	56.5	Female
S212	76	Male
S213	74.5	Female
S214	79	Male
S215	75.9	Female
S216	70.5	Male
S217	79.3	Male
S218	69	Female
S219	75.5	Female
S220	79.8	Male
S221	72.3	Female
S222	71.2	Male
S223	71.5	Female
S224	80.4	Male
S225	84.6	Female
S226	86.2	Female
S227	84	Female
S228	74.6	Male
S229	69.2	Male
S230	63.9	Male
S231	76.3	Male
S232	87.8	Female
S233	76.1	Male
S234	77.8	Male
S235	73.5	Male
S236	82.2	Male
S237	79.1	Male
S238	61.3	Female
S239	76.3	Female
S240	79.6	Female
S241	75.6	Female
S242	79.8	Male
S243	70.2	Male
S244	73.4	Male
S245	61.6	Male
S246	79.3	Male
S247	80.6	Male
S248	85.8	Male
S249	79.6	Male
S250	62.7	Male
S251	84	Male
S252	85.5	Female
S253	71.7	Male
S254	85	Male
S255	81.9	Male
S256	72.7	Female
S257	74.7	Male
S258	63	Male
S259	54.4	Male
S260	88.8	Male
S261	85.5	Male
S262	66.5	Female
S263	68.4	Male
S264	81.8	Female
S265	82.7	Female
S266	82.9	Female
S267	72.9	Male
S268	80.3	Male
S269	83.1	Male
S270	81.1	Female
S271	78.4	Female
S272	86.6	Female
S273	72	Male
S274	72.6	Male
S275	77.3	Female
S276	75.8	Female
S277	56.1	Male
S278	73.5	Female
S279	84.8	Male
S280	70.7	Male
S281	64.4	Male
S282	76.4	Male
S283	70.9	Female
S284	73.9	Female
S285	87.3	Male
S286	77.5	Male
S287	75.7	Male
S288	70.3	Male
S289	77.4	Male
S290	77.9	Male
S291	74.9	Male
S292	79.7	Male
S293	71.4	Female
S294	55.2	Female
S295	57.7	Male
S296	68.9	Male
S297	80.7	Male
S298	87.6	Male
S299	81.8	Male
S300	69.4	Male
S301	74.1	Male
S302	77.7	Female
S303	69.9	Male
S304	70	Female
S305	85.1	Female
S306	70.8	Female
S307	74.3	Female
S308	81	Female
S309	62.8	Male
S310	76.8	Male
S311	82.7	Male
S312	73.4	Male
S313	72.2	Female
S314	76.7	Female
S315	71.8	Male
S316	79.4	Male
S317	75.6	Male
S318	73.6	Female
S319	68.7	Male
S320	64.2	Male
S321	60.1	Female
S322	84.6	Male
S323	71.6	Male
S324	77	Male
S325	72	Male
S326	79.8	Male
S327	79.3	Male
S328	80.6	Male
S329	74.6	Male
S330	78.8	Male
S331	73.6	Male
S332	79.8	Female
S333	78.7	Male
S334	86.2	Female
S335	77.5	Male
S336	72.4	Female
S337	77	Female
S338	65.4	Female
S339	64.6	Male
S340	78.1	Female
S341	77.9	Male
S342	72.3	Male
S343	76.6	Female
S344	70.7	Male
S345	86.5	Male
S346	75.6	Female
S347	68.5	Female
S348	78	Female
S349	68.4	Female
S350	79	Male
S351	71.9	Female
S352	84	Female
S353	74.8	Male
S354	77.5	Male
S355	62.3	Female
S356	74.5	Female
S357	75.9	Male
S358	83.2	Male
S359	58.4	Female
S360	70.8	Male
S361	77.1	Male
S362	83.3	Male
S363	82.1	Male
S364	76.1	Female
S365	83.1	Male
S366	72.9	Female
S367	74.4	Male
S368	84.5	Male
S369	71.4	Female
S370	75	Male
S371	72.8	Male
S372	71.5	Female
S373	86.7	Male
S374	73.4	Female
S375	82.5	Male
S376	77.7	Female
S377	72.1	Male
S378	69	Male
S379	73.5	Male
S380	63.6	Male
S381	61	Female
S382	62	Female
S383	78.2	Male
S384	78.8	Female
S385	70.8	Male
S386	62.9	Male
S387	77.8	Male
S388	76.8	Female
S389	68	Male
S390	77.4	Female
S391	89.6	Female
S392	72	Male
S393	63.6	Male
S394	79.6	Male
S395	64.3	Male
S396	76.7	Female
S397	74.3	Male
S398	74	Female
S399	86.8	Male
S400	74.3	Male
S401	82	Male
S402	85	Male
S403	76.4	Male
S404	83.8	Male
S405	77.3	Male
S406	76.6	Male
S407	80	Female
S408	76	Male
S409	80.4	Female
S410	77.4	Female
S411	66.3	Male
S412	70.1	Male
S413	79.1	Male
S414	78.6	Male
S415	80.9	Male
S416	81	Male
S417	69.2	Female
S418	65.1	Female
S419	70.6	Female
S420	71.5	Male
S421	57.1	Female
S422	72.6	Male
S423	82.8	Male
S424	72.2	Male
S425	80.3	Female
S426	85.6	Male
S427	73.8	Female
S428	72.6	Male
S429	79.6	Male
S430	75.6	Female
S431	70.9	Male
S432	82	Female
S433	65.5	Male
S434	67.7	Female
S435	81.8	Female
S436	69.4	Female
S437	71	Male
S438	73	Female
S439	77.3	Male
S440	62.2	Male
S441	71.2	Male
S442	74.1	Female
S443	75.1	Female
S444	72.4	Male
S445	79.5	Male
S446	81.6	Male
S447	79.2	Female
S448	75.8	Female
S449	74.5	Male
S450	83.3	Female
S451	73.5	Male
S452	68.9	Male
S453	80.3	Male
S454	74	Male
S455	80.9	Female
S456	84.7	Female
S457	83.3	Male
S458	71.5	Female
S459	72.7	Male
S460	71	Female
S461	70.8	Male
S462	74	Female
S463	79.2	Male
S464	76.2	Female
S465	87	Male
S466	77.4	Female
S467	64.9	Female
S468	70.8	Male
S469	79	Male
S470	63.9	Male
S471	72.7	Male
S472	83.1	Male
S473	79.4	Female
S474	77	Female
S475	73.6	Male
S476	70.5	Male
S477	85.3	Female
S478	80.3	Male
S479	78.1	Male
S480	72.5	Female
S481	84.3	Female
S482	86.8	Male
S483	75.6	Male
S484	60.3	Male
S485	85.2	Male
S486	87.1	Male
S487	73.4	Female
S488	79.1	Male
S489	73.5	Male
S490	80	Female
S491	71.8	Male
S492	82.9	Female
S493	68.4	Male
S494	69.6	Male
S495	78.1	Female
S496	66.1	Female
S497	76.1	Female
S498	72.3	Male
S499	84.2	Male
S500	76.1	Female
S501	79	Male
S502	71.3	Female
S503	73.7	Female
S504	72.5	Female
S505	59.7	Female
S506	79.3	Female
S507	72.8	Female
S508	76.8	Male
S509	83.1	Female
S510	80.1	Female
S511	84.1	Male
S512	65.3	Female
S513	88.6	Female
S514	62.9	Female
S515	69.1	Female
S516	73.9	Female
S517	56.6	Female
S518	74.4	Male
S519	80.6	Female
S520	79.7	Male
S521	70.2	Male
S522	62.4	Male
