ID	P1	P2	P3	P4	P5	P6	P7	P8
S1	601.748	2072.95	1137.141	118.9747	74.854	761.352	1158.014	707.58
S2	739.99	2069.89	1178.154	88.4849	136.9991	830.621	1341.442	759.341
S3	583.462	1706.563	980.53	35.4048	79.0955	702.606	1080.546	597.523
S4	604.704	1938.808	1037.36	145.4593	88.6139	763.143	1153.421	656.154
S5	565.37	1461.028	776.095	17.07206	79.4827	535.869	871.62	521.469
S6	674.883	2003.781	1098.958	90.9826	88.1344	837.664	1167.972	769.248
S7	503.633	1179.696	685.627	17.88724	71.7962	618.274	923.072	488.015
S8	641.606	1794.409	980.858	36.1092	129.715	825.438	1002.137	596.757
S9	622.191	1925.006	1087.235	68.6652	100.9151	831.994	1224.997	717.022
S10	591.359	1757.316	988.349	47.6049	69.9806	749.01	972.228	626.203
S11	551.286	1552.558	917.043	102.0656	85.5508	816.969	1197.547	669.399
S12	680.78	1842.035	1032.856	98.613	105.9414	650.879	1049.552	566.846
S13	568.039	1554.487	848.582	22.74649	61.9845	605.118	819.146	482.617
S14	453.085	1100.908	571.551	3.139705	45.9151	416.645	585.15	407.951
S15	545.288	1298.493	688.427	7.12794	108.784	519.797	795.932	446.217
S16	664.209	2001.756	1090.745	58.0441	107.8181	714.685	1128.399	771.159
S17	661.871	1786.5	1006.219	83.8325	154.6812	768.941	1161.337	653.404
S18	396.535	1131.704	676.399	57.19	60.6657	508.779	771.589	393.267
S19	567.47	1698.887	923.132	72.2452	66.8077	716.951	1021.598	551.168
S20	759.189	1649.879	942.874	31.18034	34.9774	880.744	1171.943	644.765
S21	587.284	1444.24	814.47	88.6912	42.7	825.587	987.107	636.802
S22	599.247	1942.309	1118.826	28.6397	87.4071	755.5	1092.677	531.621
S23	613.448	1756.822	980.486	106.9685	97.4031	883.119	1144.343	685.575
S24	675.679	2023.376	1147.39	99.0714	92.9279	994.282	1303.228	622.686
S25	607.262	1710.56	984.276	16.85054	135.686	813.645	1085.101	785.065
S26	481.37	1600.337	887.179	15.26617	172.6276	481.949	736.225	505.131
S27	596.284	1613.905	897.132	91.3385	75.0627	638.438	1035.136	510.91
S28	704.505	1952.285	1112.043	88.5345	64.9079	875.463	1260.913	685.556
S29	721.934	2235.59	1264.745	164.8032	122.7626	1109.176	1377.173	701.81
S30	520.176	1329.91	737.276	54.3593	131.6604	627.919	881.277	506.32
S31	608.249	1591.24	847.7	16.15877	84.1245	623.059	909.444	715.336
S32	698.92	1870.481	1065.996	132.463	53.8322	825.973	1054.924	653.778
S33	694.169	2009.14	1118.79	123.6562	62.6079	941.384	1244.947	697.462
S34	537.489	1586.092	874.273	37.0373	71.023	548.302	849.252	577.923
S35	613.254	1724.034	974.415	8.88283	117.4102	763.004	929.662	599.514
S36	615.826	1791.785	956.021	60.4121	66.8904	674.724	973.453	593.328
S37	688.534	1641.994	954.914	51.9044	96.6387	763.986	1165.79	582.272
S38	495.12	1451.581	827.895	42.30323	51.336	525.973	767.613	405.593
S39	657.484	1767.738	1026.874	41.571	132.6331	658.637	1048.195	543.306
S40	576.349	1478.407	832.243	34.3666	57.7386	631.235	996.874	541.692
S41	603.901	1513.792	837.912	25.70735	37.9853	667.294	892.348	598.343
S42	695.473	1896.879	984.063	64.9584	266.41	738.055	1060.736	526.447
S43	495.507	1199.457	638.332	55.6672	67.3213	514.082	670.325	399.76
S44	628.024	1663.247	939.487	34.1626	218.201	874.864	986.023	592.094
S45	617.18	1892.361	1060.057	95.1725	84.3595	960.491	1274.478	767.625
S46	665.087	1723.622	1023.083	160.0482	88.5705	999.994	1339.845	733.402
S47	544.206	1341.024	768.713	46.6427	80.4334	677.156	878.283	350.656
S48	710.62	1979.247	1104.128	62.5176	82.8111	700.868	1114.628	628.416
S49	635.052	2052.961	1111.362	68.1476	56.9751	764.641	1113.611	594.307
S50	622.201	1724.794	976.271	16.81125	69.2628	925.068	1263.44	422.81
S51	638.932	1916.673	1047.019	95.723	95.4481	799.378	1184.567	662.042
S52	763.91	2148.46	1217.133	93.9561	166.7226	920.721	1306.653	825.909
S53	690.76	2235.04	1240.437	48.9136	107.7035	988.461	1284.868	870.847
S54	579.089	1513.494	850.14	77.0792	38.6514	699.597	1041.799	654.529
S55	604.64	1804.957	1010.5	144.2894	47.5753	909.649	1157.929	723.042
S56	739.199	1828.619	981.12	98.5192	53.8581	744.042	1132.061	642.244
S57	685.95	2049.358	1140.638	160.9615	74.1624	1000.535	1392.397	711.03
S58	674.883	1847.215	1014.969	58.897	76.1441	688.48	1068.236	643.91
S59	601.398	1495.234	846.179	27.38621	78.3592	611.979	914.016	504.56
S60	591.405	1815.348	991.099	173.4357	88.1109	879.086	1246.221	552.445
S61	683.689	1956.759	1090.32	150.376	60.0293	948.232	1225.028	611.361
S62	750.009	2162.66	1218.877	60.4706	182.848	778.311	1179.476	501.414
S63	669.711	2266.82	1302.167	74.594	91.1297	880.732	1213.572	819.91
S64	719.731	2102.75	1142.3	77.3879	74.7453	728.534	1097.398	626.046
S65	617.786	1803.625	1001.358	113.5895	64.9436	876.355	1134.959	784.064
S66	608.702	1508.067	808.285	53.1598	47.5505	605.452	850.359	524.602
S67	752.033	2259.27	1280.68	113.5868	92.8738	1020.992	1444.62	626.973
S68	565.487	1697.62	965.519	150.8113	72.6876	920.868	1170.296	583.819
S69	788.375	2306.87	1297.06	119.2676	119.2175	987.049	1389.746	839.674
S70	777.494	1884.147	1025.707	104.5015	88.5317	898.888	1240.35	654.577
S71	554.927	1708.526	959.53	113.609	27.6012	801.722	1180.965	787.812
S72	675.246	2026.434	1142.289	70.7051	118.1036	866.63	1172.118	546.025
S73	597.892	1444.312	800.881	7.74901	100.1388	672.271	907.873	589.651
S74	608.231	1703.285	956.59	112.7858	58.5801	918.428	1259.155	590.453
S75	632.785	1940.707	1097.411	107.2414	68.4824	836.12	1192.487	697.365
S76	757.732	1855.289	1074.465	58.8222	140.093	925.75	1302.995	757.278
S77	599.64	1693.979	950.944	32.85735	66.1682	914.377	1085.541	621.571
S78	504.077	1239.635	673.859	30.0098	44.6391	560.48	691.495	450.166
S79	773.994	2236.21	1221.617	123.7409	122.5738	896.439	1232.557	773.169
S80	779.152	2507.73	1352.562	74.3911	140.4816	829.229	1187.851	745.521
S81	611.3	2033.423	1162.397	114.2756	128.603	1028.003	1214.197	726.626
S82	563.592	1731.916	991.809	68.1299	80.3974	733.966	1014.197	598.742
S83	607.533	1476.527	832.485	95.4037	65.5632	659.932	1076.697	530.225
